	cell_line	condition	clone_id_test	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
0	A375	2CP	TUBA1B_TUBA1C_1	-2.5935314666825153	-2.9093191944747043	-3.377193288257044	11.0118777874	9.5471766828	GI
1	A375	2CP	TUBA1B_TUBA1C_2	-2.158225799661692	-3.377193288257044	-2.9093191944747043	9.5471766828	11.0118777874	GI
2	A375	2CP	TUBA1A_TUBA1C_1	-2.503691332688125	-2.7820825938546854	-3.377193288257044	6.7146759269	9.5471766828	GI
3	A375	2CP	TUBA1A_TUBA1C_2	-4.408260080859485	-3.377193288257044	-2.7820825938546854	9.5471766828	6.7146759269	GI
4	A375	2CP	MAGOH_MAGOHB_1	-4.575125530250065	-0.6347313035798088	0.06463087921541089	7.8955749433	4.9349117888	GI
5	A375	2CP	MAGOH_MAGOHB_2	-2.9229201682239587	0.06463087921541089	-0.6347313035798088	4.9349117888	7.8955749433	GI
6	A375	2CP	TUBG1_TUBG2_1	-0.9503418564504238	-3.0315023617591628	-1.0380154456244073	6.6287617724	4.0041365153	GI
7	A375	2CP	TUBG1_TUBG2_2	-3.1022578077761147	-1.0380154456244073	-3.0315023617591628	4.0041365153	6.6287617724	GI
8	A375	2CP	TUBB_TUBB4B_1	-2.478259928257869	-3.2657157232938023	-1.7830814787284452	9.6767232782	9.0633141724	GI
9	A375	2CP	TUBB_TUBB4B_2	-1.9154423610559355	-1.7830814787284452	-3.2657157232938023	9.0633141724	9.6767232782	GI
10	A375	2CP	AGAP4_AGAP5_2	-3.13589692228704	-2.8353684957980807	-2.7025810427903627	1.3606756737	3.1552215717	GI
11	A375	2CP	UBE2D2_UBE2D3_1	-1.8721915654316874	-0.02418065141693937	-4.183585414926886	5.8217981748	7.7645332153	GI
12	A375	2CP	UBE2D2_UBE2D3_2	-2.897675233425546	-4.183585414926886	-0.02418065141693937	7.7645332153	5.8217981748	GI
13	A375	2CP	H2AC6_H2AJ_1	-0.007551890694037056	-2.609953161620111	-0.3380082112780294	2.9852728746	4.1138102501	GI
14	A375	2CP	H2AC6_H2AJ_2	-1.0564129915456077	-0.3380082112780294	-2.609953161620111	4.1138102501	2.9852728746	GI
15	A375	2CP	UBE2A_UBE2B_1	-4.649210003963821	0.46474939897839995	-0.8520551145116796	5.7951605783	6.1664518597	GI
16	A375	2CP	UBE2A_UBE2B_2	-5.54019845003322	-0.8520551145116796	0.46474939897839995	6.1664518597	5.7951605783	GI
17	A375	2CP	PRPS1_PRPS2_1	-3.2797400371885015	0.2711641996062306	0.2224410429814343	6.100023941	5.8760723364	GI
18	A375	2CP	PRPS1_PRPS2_2	-3.0975976477878238	0.2224410429814343	0.2711641996062306	5.8760723364	6.100023941	GI
19	A375	2CP	ACTA2_ACTB_1	-1.146448116720654	0.26922836226437297	-3.075695454061689	2.7565014238	10.6717160709	GI
20	A375	2CP	ACTA2_ACTB_2	-1.406479165500472	-3.075695454061689	0.26922836226437297	10.6717160709	2.7565014238	GI
21	A375	2CP	DYNLL1_DYNLL2_1	-5.060749150735807	-2.2499851249303777	0.8192195357779266	9.2836520923	4.4760444971	GI
22	A375	2CP	DYNLL1_DYNLL2_2	-4.439157903917447	0.8192195357779266	-2.2499851249303777	4.4760444971	9.2836520923	GI
23	A375	2CP	RAB1A_RAB1B_2	-4.329777240741506	0.7316203518724307	-0.8551512183752613	7.3297179065	6.6633847274	GI
24	A375	2CP	ARL8A_ARL8B_1	-1.750538575561574	-0.06465818942902057	-0.24192798035475094	3.9184995685	5.0870758185	GI
25	A375	2CP	ARL8A_ARL8B_2	-3.114909679950147	-0.24192798035475094	-0.06465818942902057	5.0870758185	3.9184995685	GI
26	A375	2CP	PPP1CA_PPP1CC_1	-4.791912799086558	-1.3850595744953809	-1.3300974348970165	7.0710015275	6.951060417	GI
27	A375	2CP	PPP1CA_PPP1CC_2	-5.541875120011461	-1.3300974348970165	-1.3850595744953809	6.951060417	7.0710015275	GI
28	A375	2CP	TUBB2A_TUBB3_1	1.272297310313252	0.3677665421679037	-1.0102355276784492	4.7941772211	7.7431687409	GI
29	A375	2CP	TUBB2A_TUBB3_2	0.1796352840220905	-1.0102355276784492	0.3677665421679037	7.7431687409	4.7941772211	GI
30	A375	2CP	RAP2A_RAP2B_1	-0.021606480332737377	1.2236201739901829	1.4051977914190403	3.7561933912	2.1348323548	GI
31	A375	2CP	RAP2A_RAP2B_2	1.1556287801705984	1.4051977914190403	1.2236201739901829	2.1348323548	3.7561933912	GI
32	A375	2CP	POLR2J_POLR2J3_1	-1.5291726781806516	-1.4658472705761303	-2.501068464815	6.8247082489	4.8206916622	GI
33	A375	2CP	POLR2J_POLR2J3_2	-2.34602413448812	-2.501068464815	-1.4658472705761303	4.8206916622	6.8247082489	GI
34	A375	2CP	RAB6A_RAB6B_1	-1.638679084503087	-0.10101315611941386	0.4860047285365512	5.4901316814	2.3046241108	GI
35	A375	2CP	RAB6A_RAB6B_2	-1.174420156157141	0.4860047285365512	-0.10101315611941386	2.3046241108	5.4901316814	GI
36	A375	2CP	GNB1_GNB2_1	-0.23391710970017465	-1.234771157431975	-0.9856466209163095	7.0484519012	7.0218823427	GI
37	A375	2CP	GNB1_GNB2_2	0.11963260395660225	-0.9856466209163095	-1.234771157431975	7.0218823427	7.0484519012	GI
38	A375	2CP	SAR1A_SAR1B_1	-4.389122962965322	-0.6014108503858917	-0.5268368333267812	4.6477431875	5.3476308688	GI
39	A375	2CP	SAR1A_SAR1B_2	-4.737620087200895	-0.5268368333267812	-0.6014108503858917	5.3476308688	4.6477431875	GI
40	A375	2CP	UBE2D1_UBE2D2_1	-1.6009751933957674	-0.2273822381176438	-0.02418065141693937	3.0934535666	5.8217981748	GI
41	A375	2CP	UBE2D1_UBE2D2_2	-1.9854546445742078	-0.02418065141693937	-0.2273822381176438	5.8217981748	3.0934535666	GI
42	A375	2CP	H2AC6_H2AX_1	-3.3997063904655187	-2.609953161620111	-2.305398748970976	2.9852728746	5.6945587599	GI
43	A375	2CP	H2AC6_H2AX_2	-2.111705337963847	-2.305398748970976	-2.609953161620111	5.6945587599	2.9852728746	GI
44	A375	2CP	AKR1C2_AKR1C3_1	0.7770737109785206	1.24434933741159	1.073879737607852	6.445438159	4.2328269514	GI
45	A375	2CP	AKR1C2_AKR1C3_2	0.845586133790551	1.073879737607852	1.24434933741159	4.2328269514	6.445438159	GI
46	A375	2CP	STK38_STK38L_1	0.2391717775238722	-0.07350503090317773	-1.2311427441694054	2.8528166847	3.6616704921	GI
47	A375	2CP	HSP90AA1_HSP90AB1_1	-5.1196488880370055	0.3386594295826031	-1.398117093908274	9.8891051575	10.3964199969	GI
48	A375	2CP	HSP90AA1_HSP90AB1_2	-3.0726933130869796	-1.398117093908274	0.3386594295826031	10.3964199969	9.8891051575	GI
