Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
AAK1_BMP2K	A375	2CP	no GI	-0.013799487419403	no GI	Agree	0.1596153337872827	no GI	no GI
AAK1_BMP2K	A375	2CP	no GI	-0.013799487419403	no GI	Agree	0.1596153337872827	no GI	no GI
AARS1_AARS2	A375	2CP	lol	0.0024420211547469	no GI	Disagree	0.1328205389314787	no GI	no GI
AARS1_AARS2	A375	2CP	lol	0.0024420211547469	no GI	Disagree	0.1328205389314787	no GI	no GI
ABCA2_ABCA3	A375	2CP	no GI	0.0587243057076175	no GI	Agree	0.326935014438544	no GI	no GI
ABCA2_ABCA3	A375	2CP	no GI	0.0587243057076175	no GI	Agree	0.326935014438544	no GI	no GI
ABCA2_ABCA7	A375	2CP	no GI	0.1301269460891406	no GI	Agree	0.0861742234144808	no GI	no GI
ABCA2_ABCA7	A375	2CP	no GI	0.1301269460891406	no GI	Agree	0.0861742234144808	no GI	no GI
ABCA3_ABCA7	A375	2CP	no GI	0.083512469898663	no GI	Agree	0.0633699937697848	no GI	no GI
ABCA3_ABCA7	A375	2CP	no GI	0.083512469898663	no GI	Agree	0.0633699937697848	no GI	no GI
ABCB10_ABCB8	A375	2CP	no GI	0.1176546418480111	no GI	Agree	0.1157270689050882	no GI	no GI
ABCB10_ABCB8	A375	2CP	no GI	0.1176546418480111	no GI	Agree	0.1157270689050882	no GI	no GI
ABCB10_ABCB9	A375	2CP	no GI	-0.0008114058644085	no GI	Agree	-0.0013497781203372	no GI	no GI
ABCB10_ABCB9	A375	2CP	no GI	-0.0008114058644085	no GI	Agree	-0.0013497781203372	no GI	no GI
ABCB10_TAP2	A375	2CP	no GI	0.0319443206664684	no GI	Agree	-0.0357725276513618	no GI	no GI
ABCB10_TAP2	A375	2CP	no GI	0.0319443206664684	no GI	Agree	-0.0357725276513618	no GI	no GI
ABCB6_ABCB7	A375	2CP	no GI	0.0485790461331918	no GI	Agree	-0.0588426463888902	no GI	no GI
ABCB6_ABCB7	A375	2CP	no GI	0.0485790461331918	no GI	Agree	-0.0588426463888902	no GI	no GI
ABCB8_TAP2	A375	2CP	no GI	0.0475966850975764	no GI	Agree	0.0589787654060279	no GI	no GI
ABCB8_TAP2	A375	2CP	no GI	0.0475966850975764	no GI	Agree	0.0589787654060279	no GI	no GI
ABCB9_TAP1	A375	2CP	no GI	-0.0336621817702359	no GI	Agree	-0.0093854701624276	no GI	no GI
ABCB9_TAP1	A375	2CP	no GI	-0.0336621817702359	no GI	Agree	-0.0093854701624276	no GI	no GI
ABCB9_TAP2	A375	2CP	no GI	0.022916307058885	no GI	Agree	0.0494001139304476	no GI	no GI
ABCB9_TAP2	A375	2CP	no GI	0.022916307058885	no GI	Agree	0.0494001139304476	no GI	no GI
ABCC10_ABCC4	A375	2CP	no GI	-0.0123592148868322	no GI	Agree	-0.0654278765568614	no GI	no GI
ABCC10_ABCC4	A375	2CP	no GI	-0.0123592148868322	no GI	Agree	-0.0654278765568614	no GI	no GI
