Gene1	Gene2	detectionMethod	intraspeciesInteraction
METTL2A	METTL2B	anti tag coip	Homo sapiens
TUBA1B	TUBA1C	anti tag coip	Homo sapiens
FAHD2A	FAHD2B	anti tag coip	Homo sapiens
FAHD2B	FAHD2A	anti tag coip	Homo sapiens
FAHD2A	FAHD2B	anti tag coip	Homo sapiens
ZNF587	ZNF417	validated two hybrid	Homo sapiens
ZNF417	ZNF587	two hybrid prey pooling approach	Homo sapiens
ZNF417	ZNF587	two hybrid array	Homo sapiens
MAGOH	MAGOHB	anti tag coip	Homo sapiens
MYL12B	MYL12A	anti tag coip	Homo sapiens
AKR1C2	AKR1C1	anti tag coip	Homo sapiens
AKR1C2	AKR1C1	anti tag coip	Homo sapiens
AKR1C2	AKR1C1	anti tag coip	Homo sapiens
DDX19A	DDX19B	anti tag coip	Homo sapiens
DDX19B	DDX19A	anti tag coip	Homo sapiens
MAGEA3	MAGEA6	anti tag coip	Homo sapiens
MOB1B	MOB1A	anti tag coip	Homo sapiens
UBE2B	UBE2A	anti tag coip	Homo sapiens
UBE2B	UBE2A	anti tag coip	Homo sapiens
TUBB2A	TUBB	anti tag coip	Homo sapiens
PRPS2	PRPS1	anti tag coip	Homo sapiens
PRPS1	PRPS2	two hybrid bait and prey pooling approach	Homo sapiens
PRPS1	PRPS2	anti tag coip	Homo sapiens
PRPS1	PRPS2	two hybrid array	Homo sapiens
PRPS1	PRPS2	validated two hybrid	Homo sapiens
PRPS1	PRPS2	two hybrid array	Homo sapiens
PRPS1	PRPS2	two hybrid prey pooling approach	Homo sapiens
PRPS2	PRPS1	two hybrid prey pooling approach	Homo sapiens
PRPS1	PRPS2	validated two hybrid	Homo sapiens
PRPS1	PRPS2	two hybrid array	Homo sapiens
GNAI1	GNAI3	anti tag coip	Homo sapiens
RRAGA	RRAGB	anti tag coip	Homo sapiens
MYL12A	MYL9	anti tag coip	Homo sapiens
STAT5A	STAT5B	anti tag coip	Homo sapiens
RAB1A	RAB1B	anti tag coip	Homo sapiens
ACOT2	ACOT1	anti tag coip	Homo sapiens
ACOT2	ACOT1	anti tag coip	Homo sapiens
ARL8B	ARL8A	anti tag coip	Homo sapiens
ARL8A	ARL8B	anti tag coip	Homo sapiens
ARL8A	ARL8B	anti tag coip	Homo sapiens
TUBB	TUBB3	anti tag coip	Homo sapiens
TUBB2B	TUBB3	anti tag coip	Homo sapiens
PPP1CC	PPP1CA	anti tag coip	Homo sapiens
RAP2A	RAP2C	anti tag coip	Homo sapiens
TUBB2A	TUBB3	anti tag coip	Homo sapiens
RAC1	RAC3	anti tag coip	Homo sapiens
RAP2A	RAP2B	anti tag coip	Homo sapiens
ACTR1B	ACTR1A	anti tag coip	Homo sapiens
ACTR1A	ACTR1B	anti tag coip	Homo sapiens
ACTR1A	ACTR1B	anti tag coip	Homo sapiens
RAB6B	RAB6A	anti tag coip	Homo sapiens
RAB6B	RAB6A	anti tag coip	Homo sapiens
EIF4A1	EIF4A2	anti tag coip	Homo sapiens
HNRNPA1	HNRNPA1L2	anti tag coip	Homo sapiens
HNRNPA1	HNRNPA1L2	anti tag coip	Homo sapiens
HNRNPA1	HNRNPA1L2	anti tag coip	Homo sapiens
UTP14C	UTP14A	anti tag coip	Homo sapiens
SAR1A	SAR1B	anti tag coip	Homo sapiens
ACTR3B	ACTR3	anti tag coip	Homo sapiens
ACTR3B	ACTR3	anti tag coip	Homo sapiens
ACTR3B	ACTR3	anti tag coip	Homo sapiens
RBM4B	RBM4	anti tag coip	Homo sapiens
RBM4	RBM4B	anti tag coip	Homo sapiens
RBM4B	RBM4	anti tag coip	Homo sapiens
RBM4B	RBM4	anti tag coip	Homo sapiens
DDX39A	DDX39B	validated two hybrid	Homo sapiens
DDX39A	DDX39B	two hybrid array	Homo sapiens
DDX39A	DDX39B	two hybrid prey pooling approach	Homo sapiens
ATAD3A	ATAD3B	anti bait coip	Homo sapiens
ATAD3B	ATAD3A	anti bait coip	Homo sapiens
USP46	USP12	anti tag coip	Homo sapiens
USP18	USP41	anti tag coip	Homo sapiens
USP18	USP41	anti tag coip	Homo sapiens
PPP1CC	PPP1CB	anti tag coip	Homo sapiens
AKR1C3	AKR1C1	anti tag coip	Homo sapiens
AKR1C3	AKR1C1	anti tag coip	Homo sapiens
PPP2R2D	PPP2R2A	anti tag coip	Homo sapiens
PPP2R2A	PPP2R2D	pull down	Homo sapiens
PPP2R2D	PPP2R2A	proximity-dependent biotin identification	Homo sapiens
PPP2R2D	PPP2R2A	pull down	Homo sapiens
RAC2	RAC3	anti tag coip	Homo sapiens
RAC2	RAC3	anti tag coip	Homo sapiens
GSPT2	GSPT1	anti tag coip	Homo sapiens
GSPT1	GSPT2	anti tag coip	Homo sapiens
GSPT2	GSPT1	anti tag coip	Homo sapiens
GSPT2	GSPT1	anti tag coip	Homo sapiens
RAB5A	RAB5C	anti tag coip	Homo sapiens
RAB5A	RAB5C	anti tag coip	Homo sapiens
PTP4A2	PTP4A1	anti tag coip	Homo sapiens
PTP4A1	PTP4A2	pull down	Homo sapiens
PTP4A2	PTP4A1	anti tag coip	Homo sapiens
PTP4A2	PTP4A1	anti tag coip	Homo sapiens
PTP4A2	PTP4A1	anti bait coip	Homo sapiens
AKR1C2	AKR1C3	anti tag coip	Homo sapiens
AKR1C2	AKR1C3	anti tag coip	Homo sapiens
AKR1C2	AKR1C3	anti tag coip	Homo sapiens
STK38	STK38L	tap	Homo sapiens
STK38	STK38L	anti tag coip	Homo sapiens
GBP1	GBP3	anti tag coip	Homo sapiens
GBP1	GBP3	anti tag coip	Homo sapiens
GBP1	GBP3	bifc	Homo sapiens
GBP1	GBP3	anti tag coip	Homo sapiens
GBP1	GBP3	anti tag coip	Homo sapiens
CAPZA2	CAPZA1	anti tag coip	Homo sapiens
GABARAPL1	GABARAP	anti tag coip	Homo sapiens
GABARAPL1	GABARAP	anti tag coip	Homo sapiens
GABARAPL1	GABARAP	anti tag coip	Homo sapiens
GABARAPL1	GABARAP	anti tag coip	Homo sapiens
GABARAPL1	GABARAP	anti tag coip	Homo sapiens
RAB4A	RAB4B	anti tag coip	Homo sapiens
TPM3	TPM2	anti tag coip	Homo sapiens
TPM3	TPM2	anti tag coip	Homo sapiens
ZNF324B	ZNF324	anti tag coip	Homo sapiens
ZNF324B	ZNF324	anti tag coip	Homo sapiens
ZNF324B	ZNF324	anti tag coip	Homo sapiens
ZNF324B	ZNF324	anti tag coip	Homo sapiens
WDR5B	WDR5	anti tag coip	Homo sapiens
GNPDA1	GNPDA2	anti tag coip	Homo sapiens
GNPDA2	GNPDA1	anti tag coip	Homo sapiens
GNPDA1	GNPDA2	anti tag coip	Homo sapiens
MRFAP1	MRFAP1L1	two hybrid prey pooling approach	Homo sapiens
MRFAP1L1	MRFAP1	two hybrid array	Homo sapiens
MRFAP1L1	MRFAP1	validated two hybrid	Homo sapiens
MRFAP1	MRFAP1L1	two hybrid array	Homo sapiens
MRFAP1L1	MRFAP1	validated two hybrid	Homo sapiens
MRFAP1	MRFAP1L1	two hybrid prey pooling approach	Homo sapiens
MRFAP1L1	MRFAP1	anti tag coip	Homo sapiens
MRFAP1L1	MRFAP1	anti tag coip	Homo sapiens
MRFAP1L1	MRFAP1	anti tag coip	Homo sapiens
PRKACB	PRKACA	anti tag coip	Homo sapiens
SEC23A	SEC23B	two hybrid array	Homo sapiens
SEC23A	SEC23B	validated two hybrid	Homo sapiens
SEC23A	SEC23B	two hybrid prey pooling approach	Homo sapiens
PYCR1	PYCR2	anti tag coip	Homo sapiens
PYCR1	PYCR2	anti tag coip	Homo sapiens
PYCR2	PYCR1	anti tag coip	Homo sapiens
CYTH1	CYTH3	anti tag coip	Homo sapiens
CYTH1	CYTH3	anti tag coip	Homo sapiens
AP3M1	AP3M2	anti tag coip	Homo sapiens
CLTC	CLTCL1	anti tag coip	Homo sapiens
AP1S1	AP1S2	anti bait coip	Homo sapiens
TBL1XR1	TBL1X	anti bait coip	Homo sapiens
FKBP1A	FKBP1B	competition binding	Homo sapiens
RAB2B	RAB2A	anti tag coip	Homo sapiens
GSTM2	GSTM4	anti tag coip	Homo sapiens
GSTM2	GSTM4	anti tag coip	Homo sapiens
GSTM2	GSTM4	anti tag coip	Homo sapiens
AKT3	AKT1	anti tag coip	Homo sapiens
TLE4	TLE3	anti tag coip	Homo sapiens
TLE3	TLE4	anti tag coip	Homo sapiens
TLE3	TLE4	anti tag coip	Homo sapiens
RAB8B	RAB8A	anti tag coip	Homo sapiens
SPOPL	SPOP	molecular sieving	Homo sapiens
SPOPL	SPOP	anti tag coip	Homo sapiens
SPOPL	SPOP	anti tag coip	Homo sapiens
SYNCRIP	HNRNPR	anti tag coip	Homo sapiens
CYTH1	CYTH2	anti tag coip	Homo sapiens
BTN2A1	BTN2A2	anti tag coip	Homo sapiens
BTN2A1	BTN2A2	anti tag coip	Homo sapiens
EIF5A2	EIF5A	anti tag coip	Homo sapiens
EIF5A2	EIF5A	anti tag coip	Homo sapiens
CSNK1G2	CSNK1G3	anti tag coip	Homo sapiens
CSNK1G2	CSNK1G3	pull down	Homo sapiens
CSNK1G3	CSNK1G2	pull down	Homo sapiens
CSNK1G2	CSNK1G3	anti tag coip	Homo sapiens
CSNK1G2	CSNK1G3	anti tag coip	Homo sapiens
CSNK1G3	CSNK1G2	anti tag coip	Homo sapiens
AGO4	AGO3	anti tag coip	Homo sapiens
AGO3	AGO4	density sedimentation	Homo sapiens
AHCYL2	AHCYL1	anti tag coip	Homo sapiens
GMFB	GMFG	anti tag coip	Homo sapiens
GMFB	GMFG	anti tag coip	Homo sapiens
PYGB	PYGL	two hybrid array	Homo sapiens
PYGB	PYGL	validated two hybrid	Homo sapiens
PYGB	PYGL	two hybrid prey pooling approach	Homo sapiens
PYGL	PYGB	two hybrid bait and prey pooling approach	Homo sapiens
PYGL	PYGB	two hybrid array	Homo sapiens
PYGL	PYGB	validated two hybrid	Homo sapiens
PYGL	PYGB	two hybrid array	Homo sapiens
PYGL	PYGB	validated two hybrid	Homo sapiens
PYGL	PYGB	two hybrid prey pooling approach	Homo sapiens
PYGB	PYGL	anti tag coip	Homo sapiens
PYGB	PYGL	anti tag coip	Homo sapiens
LIN7C	LIN7B	anti tag coip	Homo sapiens
LIN7C	LIN7B	anti tag coip	Homo sapiens
MAP2K2	MAP2K1	anti tag coip	Homo sapiens
CKS1B	CKS2	anti tag coip	Homo sapiens
MAPK8	MAPK9	anti tag coip	Homo sapiens
FBXW11	BTRC	anti tag coip	Homo sapiens
BTRC	FBXW11	anti tag coip	Homo sapiens
SSBP2	SSBP3	anti tag coip	Homo sapiens
SSBP3	SSBP2	pull down	Homo sapiens
