ReagentID	Gene1	Gene2	Gene1_ensembl	Gene2_ensembl	Jaccard BP Similarity	Jaccard MF Similarity	Jaccard CC Similarity	Average Wang BP Similarity	Average Wang MF Similarity	Average Wang CC Similarity
ACTB_ACTG1_1	ACTB	ACTG1	ENSG00000075624	ENSG00000184009	0.14583333333333334	0.4666666666666667	0.40816326530612246	0.13466004005344187	0.321431458288946	0.297756708301221
ACTB_ACTG1_2	ACTG1	ACTB	ENSG00000184009	ENSG00000075624	0.14583333333333334	0.4666666666666667	0.40816326530612246	0.13466004005344187	0.321431458288946	0.297756708301221
EOLA1_EOLA2_1	EOLA1	EOLA2	ENSG00000197620	ENSG00000197021	0.0	0.0	1.0	0.0	0.0	1.0
EOLA1_EOLA2_2	EOLA2	EOLA1	ENSG00000197021	ENSG00000197620	0.0	0.0	1.0	0.0	0.0	1.0
RABL2A_RABL2B_1	RABL2A	RABL2B	ENSG00000079974	ENSG00000144134	0.4	1.0	0.14285714285714285	0.29833318727599356	0.4123774973619193	0.5186340578360277
RABL2A_RABL2B_2	RABL2B	RABL2A	ENSG00000144134	ENSG00000079974	0.4	1.0	0.14285714285714285	0.29833318727599356	0.4123774973619193	0.5186340578360277
RPL26_RPL26L1_1	RPL26	RPL26L1	ENSG00000161970	ENSG00000037241	0.25	0.75	0.4166666666666667	0.21245061701707912	0.492761676800687	0.323177350512344
RPL26_RPL26L1_2	RPL26L1	RPL26	ENSG00000037241	ENSG00000161970	0.25	0.75	0.4166666666666667	0.21245061701707912	0.492761676800687	0.323177350512344
CDK11A_CDK11B_1	CDK11A	CDK11B	ENSG00000008128	ENSG00000248333	1.0	0.8571428571428571	1.0	0.2978255035751959	0.44473123334424325	0.4474795807137774
CDK11A_CDK11B_2	CDK11B	CDK11A	ENSG00000248333	ENSG00000008128	1.0	0.8571428571428571	1.0	0.2978255035751959	0.44473123334424325	0.4474795807137774
METTL2A_METTL2B_1	METTL2A	METTL2B	ENSG00000087995	ENSG00000165055	0.8	0.8333333333333334	0.5	0.6256785371265193	0.5680971559418794	0.7950819672131147
METTL2A_METTL2B_2	METTL2B	METTL2A	ENSG00000165055	ENSG00000087995	0.8	0.8333333333333334	0.5	0.6256785371265193	0.5680971559418794	0.7950819672131147
H2BC12_H2BC5_1	H2BC12	H2BC5	ENSG00000197903	ENSG00000158373	0.0	1.0	0.75	0.0	0.4875951219972879	0.43383829799189205
H2BC12_H2BC5_2	H2BC5	H2BC12	ENSG00000158373	ENSG00000197903	0.0	1.0	0.75	0.0	0.4875951219972879	0.43383829799189205
