Class_label_sum	cell_line	condition	Gene_combination	single_gene_highist_avg_lfc	single_gene_lowest_avg_lfc	expected_combinatorial_lfc	combinatorial_avg_lfc	Euclidean_distance_expexted_observed	Euclidean_distance_singel_phenotype	highist_expression	lowest_expression	Euclidean_distance_expresstion	expre_Correlation	highist_dep	lowest_dep	Euclidean_distance_dep	dep_Correlation	highist_damage_mutation	lowest_damage_mutation	Euclidean_distance_dm	Jaccard BP Similarity	Jaccard MF Similarity	Jaccard CC Similarity	Average Wang BP Similarity	Average Wang MF Similarity	Average Wang CC Similarity	score	nscore	fscore	pscore	ascore	escore	dscore	Jaccard Index_commun_proteins	Number of Common Proteins	Class_label_exp	Class_label_dep	Class_label_corr	Class_label_neg
no GI	A375	2CP	AAK1_BMP2K	-0.5248125582675736	-0.9863845486214724	-1.511197106889046	-1.3231466433597383	0.18805046352930765	0.46157199035389884	2.6785024635474	1.9083138252411007	0.7701886383062988	0.1596153337872827	-0.1252397295552986	-0.1700446260557276	0.0448048965004289	-0.013799487419403	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.1982642621478714	0.3492260004036112	0.4197297868959036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	5	no GI	no GI	no GI	no GI
lol	A375	2CP	AARS1_AARS2	-2.98213436862143	-4.55778522827201	-7.539919596893441	-4.733963354851991	2.80595624204145	1.57565085965058	7.264064945474183	3.4543725989730967	3.809692346501086	0.1328205389314787	-0.7673869259437163	-1.8146413380428577	1.0472544120991414	0.0024420211547469	0.0	0.0	0.0	0.2941176470588235	0.7692307692307693	0.3333333333333333	0.3357408359457639	0.307811304579797	0.5155964171021813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	2	no GI	no GI	no GI	Mixed
no GI	A375	2CP	ABCA2_ABCA3	-0.0054484731632304	-0.7179691620040924	-0.7234176351673228	0.2341135850838678	0.9575312202511906	0.7125206888408621	4.1843545340990325	0.0947425476069319	4.0896119864921	0.326935014438544	0.1970951778406496	0.0800634210862488	0.1170317567544007	0.0587243057076175	0.0	0.0	0.0	0.0566037735849056	0.4166666666666667	0.3333333333333333	0.1228268354628743	0.271945905111105	0.3521277772061057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCA2_ABCA7	0.1414338713922764	-0.0054484731632304	0.13598539822904598	-0.2285539675099688	0.3645393657390148	0.1468823445555068	4.1843545340990325	1.7045537051727793	2.479800828926253	0.0861742234144808	0.1829555135744476	0.0800634210862488	0.1028920924881987	0.1301269460891406	0.0	0.0	0.0	0.0333333333333333	0.2857142857142857	0.1904761904761904	0.1172329905059648	0.2602374606147029	0.362960629556768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCA3_ABCA7	0.1414338713922764	-0.7179691620040924	-0.5765352906118161	-0.5407744420819665	0.03576084852984962	0.8594030333963688	1.7045537051727793	0.0947425476069319	1.6098111575658474	0.0633699937697848	0.1970951778406496	0.1829555135744476	0.014139664266202	0.083512469898663	0.0	0.0	0.0	0.0833333333333333	0.3571428571428571	0.16	0.1359086425272878	0.3198872774725376	0.3514809316458113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB10_ABCB8	0.480443182113941	-2.0209895624575243	-1.5405463803435833	-0.952027011142333	0.5885193692012503	2.5014327445714652	4.395241907147045	3.833563403797199	0.5616785033498459	0.1157270689050882	0.0618915107786215	0.0286764612763905	0.0332150495022309	0.1176546418480111	0.0	0.0	0.0	0.0769230769230769	0.5714285714285714	0.5	0.1665631757713797	0.2871517803119459	0.4022712289827109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	2	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB10_ABCB9	0.3361085677605846	-2.0209895624575243	-1.6848809946969396	-0.8256133003132409	0.8592676943836988	2.357098130218109	4.319243994136788	3.833563403797199	0.4856805903395891	-0.0013497781203372	0.11996295488829	0.0286764612763905	0.0912864936118995	-0.0008114058644085	0.0	0.0	0.0	0.0833333333333333	0.5	0.125	0.1927001213703293	0.2830925082387268	0.4515626520775694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB10_TAP2	0.0653246625696595	-2.0209895624575243	-1.9556648998878647	-0.7614091271011845	1.1942557727866803	2.0863142250271838	5.212993399472485	3.833563403797199	1.3794299956752862	-0.0357725276513618	0.1116956134698694	0.0286764612763905	0.0830191521934789	0.0319443206664684	0.0	0.0	0.0	0.05	0.2666666666666666	0.0909090909090909	0.1174382206891555	0.2762389456411259	0.3684827852915707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB6_ABCB7	0.2536731279350928	-2.7778170287707	-2.524143900835607	-3.883492470499084	1.359348569663477	3.0314901567057926	4.3513172931279644	3.9991974491340416	0.3521198439939228	-0.0588426463888902	-0.0582153564861514	-1.4819328051510483	1.423717448664897	0.0485790461331918	0.0	0.0	0.0	0.1578947368421052	0.2307692307692307	0.0833333333333333	0.1488486622126708	0.2682814321007416	0.3714985160273845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB8_TAP2	0.480443182113941	0.0653246625696595	0.5457678446836005	0.882591849660137	0.33682400497653653	0.4151185195442815	5.212993399472485	4.395241907147045	0.8177514923254403	0.0589787654060279	0.1116956134698694	0.0618915107786215	0.0498041026912479	0.0475966850975764	0.0	0.0	0.0	0.1176470588235294	0.3846153846153846	0.0666666666666666	0.192114359911967	0.2743864184051423	0.2942884282167502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB9_TAP1	0.3361085677605846	0.0435842393013703	0.3796928070619549	-0.2069304774480378	0.5866232845099927	0.29252432845921433	4.319243994136788	4.172457357821823	0.1467866363149648	-0.0093854701624276	0.11996295488829	0.0361175493207564	0.0838454055675335	-0.0336621817702359	0.0	0.0	0.0	0.3333333333333333	0.2777777777777778	0.1818181818181818	0.3464383774025335	0.2479073188368154	0.3609337125692112	0.627	0.0	0.0	0.107	0.0	0.0	0.54	0.3333333333333333	5	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCB9_TAP2	0.3361085677605846	0.0653246625696595	0.40143323033024414	0.5271832827989031	0.125750052468659	0.2707839051909251	5.212993399472485	4.319243994136788	0.8937494053356971	0.0494001139304476	0.11996295488829	0.1116956134698694	0.0082673414184205	0.022916307058885	0.0	0.0	0.0	0.2	0.2941176470588235	0.1818181818181818	0.2497107766318859	0.2734703051065802	0.3516214290239893	0.748	0.0	0.0	0.092	0.384	0.0	0.54	0.25	4	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCC10_ABCC4	0.2586545969327516	-1.0076413971763905	-0.7489868002436388	-0.9435222858461968	0.19453548560255796	1.266295994109142	3.557933842459474	3.071134164765289	0.4867996776941847	-0.0654278765568614	0.1344986250040158	-0.096571914056988	0.2310705390610038	-0.0123592148868322	0.0	0.0	0.0	0.2105263157894736	0.3888888888888889	0.3	0.3741394569682367	0.3055397025377619	0.4712815107503075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCC1_ABCC3	-0.5037893715098118	-1.221428160453934	-1.725217531963746	-0.6302692877021778	1.0949482442615681	0.7176387889441223	4.0181917159783	2.2780731126607696	1.74011860331753	0.2935854904141362	0.0884437278047763	0.0297501735854472	0.0586935542193291	0.0165884127132798	0.0	0.0	0.0	0.2592592592592592	0.5	0.5714285714285714	0.3108149687876524	0.3576970491655393	0.6213517531669199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	GI	no GI	no GI	Mixed
no GI	A375	2CP	ABCC4_ABCC5	-0.50608217146604	-1.0076413971763905	-1.5137235686424304	-0.9689725164387092	0.5447510522037212	0.5015592257103505	3.82352284810972	3.557933842459474	0.2655890056502459	0.0263935659625061	0.1344986250040158	0.0972605506630182	0.0372380743409976	0.0103165000531199	0.0	0.0	0.0	0.3478260869565217	0.4545454545454545	0.4545454545454545	0.3340797618527845	0.3264695599826128	0.4088889529723373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABCD1_ABCD3	1.383836198061893	-0.5539201163623768	0.8299160816995161	-0.4427672673210685	1.2726833490205847	1.9377563144242698	4.777463067318078	3.309222476221912	1.4682405910961664	0.1808130831680435	0.0203415819220075	-0.2050241080943175	0.225365690016325	-0.020134978955172	0.0	0.0	0.0	0.1875	0.6666666666666666	0.3571428571428571	0.1687125934412541	0.2599848307499348	0.4286963921238474	0.98	0.0	0.0	0.094	0.069	0.635	0.9	0.25	4	GI	no GI	no GI	Mixed
no GI	A375	2CP	ABCF1_ABCF3	0.2951875431599247	-4.44764800486377	-4.152460461703845	-2.8922722446851776	1.2601882170186678	4.742835548023694	5.849058727159351	4.64781141307546	1.2012473140838908	0.3681591427403796	0.2478101655878345	-1.165950758579246	1.4137609241670803	-0.0401988977272012	0.0	0.0	0.0	0.0	0.375	0.1666666666666666	0.1364173383048614	0.2904464521226848	0.595474211100833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789473684	1	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABHD14A_ABHD14B	1.1388248532495029	-0.3698809655098336	0.7689438877396693	0.1834895347363145	0.5854543530033548	1.5087058187593365	6.300080306912517	3.747128590993345	2.552951715919172	0.4337055583480595	0.0093118829228829	-0.100590130592919	0.1099020135158019	0.122250717155304				0.0	0.2	0.1428571428571428	0.0	0.525174629384191	0.4812962771260858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABHD16A_ABHD16B	1.809260982261436	-0.7429557599680243	1.0663052222934117	0.9922581106014344	0.07404711169197731	2.5522167422294606	3.863447079075877	0.0620622942876877	3.801384784788189	-0.0123025726036838	-0.042031989125969	-0.0723403533352668	0.0303083642092978	0.065067560958576	0.0	0.0	0.0	0.5	0.75	0.0	0.5047750513971239	0.5992475916233054	0.5901639344262295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
no GI	A375	2CP	ABHD17A_ABHD17B	0.5607939491418681	0.4316400860422054	0.9924340351840735	0.3233017116136891	0.6691323235703843	0.1291538630996627	4.0263030567039655	3.6641208141038817	0.3621822426000838	0.1461830405292791	0.034204136385229	-0.4866691687187726	0.5208733051040015	-0.0665568674519907				0.4444444444444444	0.6666666666666666	0.7333333333333333	0.2761894702185413	0.5707951506695839	0.3727879150515176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	4	no GI	no GI	no GI	no GI
GI	A375	2CP	ABHD17A_ABHD17C	0.4316400860422054	-3.755937054388167	-3.324296968345962	0.208037418532631	3.532334386878593	4.187577140430372	5.847069047004462	3.6641208141038817	2.1829482329005803	-0.143620585080507	0.0344319009788997	-0.4866691687187726	0.5211010696976723	0.0461960415916212				0.6666666666666666	1.0	0.7333333333333333	0.3072643194241256	0.5362589973681707	0.3580984597883985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5384615384615384	7	GI	no GI	no GI	Mixed
GI	A375	2CP	ABHD17B_ABHD17C	0.5607939491418681	-3.755937054388167	-3.195143105246299	-0.6912529165005767	2.5038901887457223	4.316731003530036	5.847069047004462	4.0263030567039655	1.8207659903004965	0.0060211266667505	0.0344319009788997	0.034204136385229	0.0002277645936707	-0.0032209233358222	0.0	0.0	0.0	0.5714285714285714	0.6666666666666666	0.8333333333333334	0.3464648861841285	0.5707951506695839	0.3721518438137649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	5	no GI	no GI	no GI	Mixed
no GI	A375	2CP	ABHD4_ABHD5	0.5211264277500014	-0.6930820141572267	-0.1719555864072253	-0.2774726323496543	0.105517045942429	1.214208441907228	3.849061419404676	2.705924952291289	1.1431364671133872	0.3184218975141353	0.1794039924306587	-0.0841711904199915	0.2635751828506502	0.1033389552510195	0.0	0.0	0.0	0.1666666666666666	0.3	0.2857142857142857	0.2315892490537667	0.3704131487167479	0.4490598991528769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	no GI	no GI	no GI	no GI
