ReagentID	Gene1	Gene2	Gene1_ensembl	Gene2_ensembl	preferredName_A	preferredName_B	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
ACTB_ACTG1_1	ACTB	ACTG1	ENSG00000075624	ENSG00000184009	ACTB	ACTG1	0.999	0.0	0.0	0.047	0.778	0.983	0.9	0.795
ACTB_ACTG1_2	ACTG1	ACTB	ENSG00000184009	ENSG00000075624	ACTG1	ACTB	0.999	0.0	0.0	0.047	0.778	0.983	0.9	0.795
EOLA1_EOLA2_1	EOLA1	EOLA2	ENSG00000197620	ENSG00000197021	EOLA1	EOLA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EOLA1_EOLA2_2	EOLA2	EOLA1	ENSG00000197021	ENSG00000197620	EOLA2	EOLA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RABL2A_RABL2B_1	RABL2A	RABL2B	ENSG00000079974	ENSG00000144134	RABL2A	RABL2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RABL2A_RABL2B_2	RABL2B	RABL2A	ENSG00000144134	ENSG00000079974	RABL2B	RABL2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL26_RPL26L1_1	RPL26	RPL26L1	ENSG00000161970	ENSG00000037241	RPL26	RPL26L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL26_RPL26L1_2	RPL26L1	RPL26	ENSG00000037241	ENSG00000161970	RPL26L1	RPL26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK11A_CDK11B_1	CDK11A	CDK11B	ENSG00000008128	ENSG00000248333	CDK11A	CDK11B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK11A_CDK11B_2	CDK11B	CDK11A	ENSG00000248333	ENSG00000008128	CDK11B	CDK11A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METTL2A_METTL2B_1	METTL2A	METTL2B	ENSG00000087995	ENSG00000165055	METTL2A	METTL2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METTL2A_METTL2B_2	METTL2B	METTL2A	ENSG00000165055	ENSG00000087995	METTL2B	METTL2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC12_H2BC5_1	H2BC12	H2BC5	ENSG00000197903	ENSG00000158373	H2BC12	H2BC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2BC12_H2BC5_2	H2BC5	H2BC12	ENSG00000158373	ENSG00000197903	H2BC5	H2BC12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
